S. No.,Wine,Vintage,Varietal,Type,Country,Region,User Rating,Body,Price,Sweetness,Morrisons'
1,Trey Marie Trutina,1999,Red Bordeaux Blend,Red,USA,Washington,87.3,C,21.25,2,N
2,Quilceda Creek Merlot,2006,Merlot,Red,USA,Washington,92.5,C,11.25,2,N
3,Reininger Cabernet Sauvignon,2000,Cabernet Sauvignon,Red,USA,Washington,88.4,E,20,2,N
4,Woodward Canyon Charbonneau,1997,Red Bordeaux Blend,Red,USA,Washington,90.5,C,28.5,2,N
5,Long Shadows Wineries Saggi,2004,Red Blend,Red,USA,Washington,90.4,D,12.5,2,N
6,Long Shadows Wineries Syrah Sequel,2003,Shiraz/Syrah,Red,USA,Washington,91.5,D,17.5,2,N
7,Dominio Pingus Ribera del Duero,1999,Tempranillo/Tinto Fino/Tinta Roriz,Red,Spain,Castilla y León,96,E,24,2,N
8,Bodega Numanthia Termes Toro Numanthia,2001,Tempranillo/Tinto Fino/Tinta Roriz,Red,Spain,Castilla y León,92,D,21,2,N
9,Rotllan Torra Priorat Tirant,2003,Grenache/Garnacha Blend,Red,Spain,Catalunya,93.3,E,17,6,N
10,Alvaro Palacios Priorat L'Ermita,2006,Red Blend,Red,Spain,Catalunya,93,E,12,2,N
11,Château Haut Mallet,1989,Sémillon-Sauvignon Blanc Blend,White,France,Bordeaux,86,C,12,6,N
12,Château Haut Mallet,2007,Sémillon-Sauvignon Blanc Blend,White - Sweet/Desert,France,Bordeaux,87,D,19.99,9,N
13,Château de Malle,2002,Sémillon-Sauvignon Blanc Blend,White - Sweet/Desert,France,Bordeaux,90.8,D,20.5,8,N
14,Château Haut Mallet,2000,Red Bordeaux Blend,Red,France,Bordeaux,88,C,19,2,N
15,Château Doisy-Daëne,2009,Sémillon-Sauvignon Blanc Blend,White - Sweet/Desert,France,Bordeaux,91.7,E,12.5,9,N
16,Michel & Stéphane Ogier Côte-Rôtie,2008,Shiraz/Syrah,Red,France,Rhône,90,E,8,2,N
17,Domaine du Vieux Télégraphe Châteauneuf-du-Pape Blanc La Crau,2001,White Rhone Blend,White,France,Rhône,91.4,D,23,2,N
18,Rene Rostaing Côte-Rôtie Côte Blonde,2000,Shiraz/Syrah,Red,France,Rhône,92.2,D,23,2,N
19,E. Guigal Crozes-Hermitage Blanc,2006,White Rhone Blend,White,France,Rhône,86,C,20,2,N
20,E. Guigal Crozes-Hermitage,2002,Shiraz/Syrah,Red,France,Rhône,84.6,D,19,2,N
21,Caves des Papes Châteauneuf-du-Pape Les Closiers,2003,Red Rhone Blend,Red,France,Rhône,89.1,D,16,2,N
22,Caves des Papes Châteauneuf-du-Pape Les Closiers,2005,White Rhone Blend,White,France,Rhône,85,C,19,2,N
23,Domaine Jamet Côte-Rôtie,2001,Shiraz/Syrah,Red,France,Rhône,91.8,E,20,2,N
24,Churchill Porto Late Bottled Vintage,2005,Port Blend,Red - Fortified,Portugal,Douro,85,D,16,5,N
25,Dow Porto Late Bottled Vintage,2006,Port Blend,Red - Fortified,Portugal,Douro,86.7,D,15,6,N
26,Zenato Amarone della Valpolicella,2003,Corvina Blend,Red,Italy,Veneto,94,A,16.5,2,N
27,Zenato Amarone della Valpolicella Classico,1998,Corvina Blend,Red,Italy,Veneto,90.4,A,22,2,N
28,Tenuta San Guido Bolgheri Sassicaia Sassicaia,2009,Red Bordeaux Blend,Red,Italy,Tuscany,92,C,6.5,2,N
29,Pio Cesare Barolo,2003,Nebbiolo,Red,Italy,Piedmont,91.2,D,15.25,2,N
30,Pio Cesare Barolo Ornato,2000,Nebbiolo,Red,Italy,Piedmont,92,D,22.5,2,N
31,Marchesi Mazzei Castello di Fonterutoli Siepi Toscana IGT,2005,SuperTuscan Blend,Red,Italy,Tuscany,92.5,C,12.5,2,N
32,Falesco Montiano Lazio IGT,1999,Merlot,Red,Italy,Latium,90.3,C,24.75,2,N
33,Braida (Giacomo Bologna) Barbera d'Asti Ai Suma,2003,Barbera,Red,Italy,Piedmont,85,C,17,2,N
34,Isole e Olena Cepparello Toscana IGT,2005,Sangiovese,Red,Italy,Tuscany,90.6,C,11.75,2,N
35,Poggio Antico Brunello di Montalcino,2006,Sangiovese,Red,Italy,Tuscany,89.8,C,10,2,N
36,Joh. Jos. Prüm Wehlener Sonnenuhr Riesling Auslese,2001,Riesling,White - Off-dry,Germany,Mosel Saar Ruwer,94.2,A,19.5,6,N
37,Balthasar Ress Hochheimer Kirchenstück Riesling Spätlese,1986,Riesling,White - Off-dry,Germany,Rheingau,90,A,50,6,N
38,Adam Müller Riesling Spätlese,2008,Riesling,White - Off-dry,Germany,Pfalz,85,B,45,7,N
39,Château Beauregard Ducasse Blanc,2006,Sauvignon Blanc,White,France,Bordeaux,88,C,15,2,N
40,Château Ducasse Blanc,2006,Sémillon-Sauvignon Blanc Blend,White,France,Bordeaux,87.3,C,10,2,N
41,Zind-Humbrecht Gewurztraminer Hengst,2007,Gewürztraminer,White,France,Alsace,91.5,E,20,5,N
42,Zind-Humbrecht Pinot Gris Clos Windsbuhl,2006,Pinot Gris,White,France,Alsace,91.3,E,54,6,N
43,La Bastide Blanche Bandol,2003,Mourvedre Blend,Red,France,Provence,90,B,14.75,2,N
44,La Bastide Blanche Bandol Blanc,2009,White Rhone Blend,White,France,Provence,91,C,12,2,N
45,Zind-Humbrecht Pinot Noir Herrenweg de Turckheim,1996,Pinot Noir,Red,France,Alsace,94,C,36,2,N
46,Canoblas-Smith Alchemy,1999,Cabernet-Shiraz/Syrah Blend,Red,Australia,New South Wales,88,E,21,2,N
47,Miaudoux Saussignac Reserve,1994,Sémillon,White - Sweet/Desert,France,Southwest France,90,C,55,8,N
48,René Renou Bonnezeaux Cuvée Zenith,2000,Chenin Blanc,White - Sweet/Desert,France,Loire Valley,89,C,72,8,N
49,Big Tattoo Wines Riesling 2 Brothers,2006,Riesling,White,Germany,Mosel Saar Ruwer,83,C,12.99,4,N
50,Big Tattoo Wines Syrah 2 Brothers,2005,Shiraz/Syrah,Red,Chile,Central Valley,84.5,D,14,2,N
51,Big Tattoo Wines 2 Brothers Big Tattoo Red Colchagua Valley,2003,Cabernet-Shiraz/Syrah Blend,Red,Chile,Central Valley,79,E,15.5,2,N
52,Moët & Chandon Champagne Cuvée Dom Pérignon,2006,Champagne Blend,White - Sparkling,France,Champagne,92,C,80,2,N
53,Bollinger Champagne La Grande Année,2002,Champagne Blend,White - Sparkling,France,Champagne,92.7,D,65,2,N
54,Bollinger Champagne Rosé Brut,1999,Champagne Blend,Rose - Sparkling,France,Champagne,89,B,35,2,N
55,Perrier-Jouët Champagne Cuvée Fleur de Champagne Rosé,2002,Champagne Blend,Rose - Sparkling,France,Champagne,91.4,B,25,2,N
56,Perrier-Jouët Champagne Cuvée Fleur de Champagne,2002,Champagne Blend,White - Sparkling,France,Champagne,91.2,B,70,2,N
57,Henri Boillot Corton-Charlemagne,2008,Chardonnay,White,France,Burgundy,92,D,10,2,N
58,Domaine Leflaive Chevalier-Montrachet,2005,Chardonnay,White,France,Burgundy,94.8,C,12,2,N
59,Remoissenet Père et Fils Givry,2009,Chardonnay,White,France,Burgundy,81,C,9,2,N
60,"Remoissenet Père et Fils Givry ""Le Préféré du Roi Henri IV""",2010,Pinot Gris,White,France,Burgundy,88,E,51,7,N
61,"Remoissenet Père et Fils Givry ""Le Préféré du Roi Henri IV""",2006,Pinot Noir,Red,France,Burgundy,85,B,12.5,2,N
62,Domaine Dujac Echezeaux,2007,Pinot Noir,Red,France,Burgundy,90.3,B,9,2,N
63,Baron Philippe de Rothschild Graves Mouton Cadet Réserve,2010,Red Bordeaux Blend,Red,France,Bordeaux,83.5,C,6,2,N
64,Baron Philippe de Rothschild le Rosé de Mouton Cadet,2006,Rose Blend,Rose,France,Bordeaux,79,B,4,2,N
65,Baron Philippe de Rothschild Mouton Cadet Blanc,2010,Sémillon-Sauvignon Blanc Blend,White,France,Bordeaux,84.5,E,9,2,N
66,Bodega Catena Zapata Bonarda Alamos,2010,Bonarda,Red,Argentina,Mendoza,85,D,5.5,2,N
67,Bodega Catena Zapata Alamos Vintner's Blend,2007,Malbec Blend,Red,Argentina,Mendoza,90,D,8.75,2,N
68,Bodega Catena Zapata Alamos,2007,Chardonnay Blend,White - Sparkling,Argentina,Mendoza,86,C,13,2,N
69,Bodegas Monteviejo Lindaflor Petite Fleur,2009,Red Blend,Red,Argentina,Mendoza,89.5,D,7,2,N
